ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,LGR_Conformance,Comment
dogr1250-oneboy,dogr1250,ek muɖɑ,,,one boy,,,
garh1243-oneboy,garh1243,ek ləɖkɑ,,,one boy,,,
kuma1273-oneboy,kuma1273,ek čəl,,,one boy,,,
gadd1242-oneboy,gadd1242,əkʰ čʰokro,,,one boy,,,
goan1235-oneboy,goan1235,ek t͡səlɔ,,,one boy,,,
nepa1254-oneboy,nepa1254,eoʈɑ keʈo,,,one boy,,,
kudm1238-oneboy,kudm1238,ənɑ ʈɑ beʈɑčʰəuɑ,,,one boy,,,
beng1280-oneboy,beng1280,ækʈɑ/ekʈɪ čʰele,,,one boy,,,
assa1263-oneboy,assa1263,ɛdʒɒn lɒrɑ:,,,one boy,,,
marw1260-oneboy,marw1260,ek čʰoro,,,one boy,,,
panj1256-oneboy,panj1256,ɪkk munɖɑ,,,one boy,,,
adiv1239-oneboy,adiv1239,ǰəɳə bɑɭəkə,,,one boy,,,
kash1277-oneboy,kash1277,əkʰ ləɖk,,,one boy,,,
mara1378-oneboy,mara1378,ek mulɡɑ,,,one boy,,,
guja1252-oneboy,guja1252,ek čʰokro,,,one boy,,,
sind1272-oneboy,sind1272,ɪkk čʰokro,,,one boy,,,
paha1251-oneboy,paha1251,ek munɖɑ,,,one boy,,,
sada1242-oneboy,sada1242,eɡo čʰorɑ,,,one boy,,,
wagd1238-oneboy,wagd1238,ek ʃoro,,,one boy,,,
west2380-oneboy,west2380,eɡo ləikɑ,,,one boy,,,
sans1269-oneboy,sans1269,ekəh bɑləkəh,,,one boy,,,
panc1246-oneboy,panc1246,ekʈɑ čʰorɑ,,,one boy,,,
sylh1242-oneboy,sylh1242,æxʈɑ sele,,,one boy,,,
urdu1245-oneboy,urdu1245,ɑek ləɽkɑ,,,one boy,,,
halb1244-oneboy,halb1244,ɡoʈək lekɑ,,,one boy,,,
maga1260-oneboy,maga1260,eɡo čʰorɑ,,,one boy,,,
rajb1243-oneboy,rajb1243,ɛk-ʈɑ čɛŋɡrɑ,,,one boy,,,
kull1236-oneboy,kull1236,ek ʃoru,,,one boy,,,
dogr1250-twoboys,dogr1250,do muɖe,,,two boys,,,
garh1243-twoboys,garh1243,dui ləɖkɑ,,,two boys,,,
kuma1273-twoboys,kuma1273,di čəl,,,two boys,,,
gadd1242-twoboys,gadd1242,do čʰokro,,,two boys,,,
goan1235-twoboys,goan1235,d̪on t͡səlɛ,,,two boys,,,
nepa1254-twoboys,nepa1254,duiʈɑ keʈɑ,,,two boys,,,
kudm1238-twoboys,kudm1238,dənɑ ʈɑ beʈɑčʰəuɑ,,,two boys,,,
beng1280-twoboys,beng1280,d̪uʈo/ d̪uʈɪ čʰele,,,two boys,,,
assa1263-twoboys,assa1263,dʊdʒɒn lɒrɑ:,,,two boys,,,
marw1260-twoboys,marw1260,do čʰorɑ,,,two boys,,,
panj1256-twoboys,panj1256,d̪o munɖe,,,two boys,,,
adiv1239-twoboys,adiv1239,d̪uɪ ǰəɳə bɑɭəkə,,,two boys,,,
kash1277-twoboys,kash1277,žə ləɖk,,,two boys,,,
mara1378-twoboys,mara1378,d̪on mulə,,,two boys,,,
guja1252-twoboys,guja1252,be čʰokrɑo,,,two boys,,,
sind1272-twoboys,sind1272,bə čʰokrɑ,,,two boys,,,
paha1251-twoboys,paha1251,do munɖe,,,two boys,,,
sada1242-twoboys,sada1242,duiɡo čʰorɑmən,,,two boys,,,
wagd1238-twoboys,wagd1238,be ʃorə,,,two boys,,,
west2380-twoboys,west2380,duɡo ləikɑ,,,two boys,,,
sans1269-twoboys,sans1269,dʋɔ bɑlkɔ,,,two boys,,,
panc1246-twoboys,panc1246,duiʈɑ čʰoa,,,two boys,,,
sylh1242-twoboys,sylh1242,duiʈɑ sele,,,two boys,,,
urdu1245-twoboys,urdu1245,do ləɽke,,,two boys,,,
halb1244-twoboys,halb1244,duj ǰʰən lekɑ mən,,,two boys,,,
maga1260-twoboys,maga1260,du-ɡo čʰorɑ,,,two boys,,,
rajb1243-twoboys,rajb1243,dui-ʈɑ čɛŋɡrɑ,,,two boys,,,
kull1236-twoboys,kull1236,dui ʃoru,,,two boys,,,
dogr1250-onesheep,dogr1250,ek piɖ,,,one sheep,,,
garh1243-onesheep,garh1243,ek bʰẽɖič,,,one sheep,,,
kuma1273-onesheep,kuma1273,ek bʰeɽ,,,one sheep,,,
gadd1242-onesheep,gadd1242,əkʰ bɛɽ,,,one sheep,,,
goan1235-onesheep,goan1235,ek mɛ̃dɔ,,,one sheep,,,
nepa1254-onesheep,nepa1254,eoʈɑ bʰeɽo,,,one sheep,,,
kudm1238-onesheep,kudm1238,ekʈi bʰeɖi,,,one sheep,,,
beng1280-onesheep,beng1280,ækʈɑ/ekʈɪ bʰærɑ,,,one sheep,,,
assa1263-onesheep,assa1263,ɛtɑ: bʰɛrɑ:,,,one sheep,,,
marw1260-onesheep,marw1260,ek bʰɛɽ,,,one sheep,,,
panj1256-onesheep,panj1256,ɪkk peɖ,,,one sheep,,,
adiv1239-onesheep,adiv1239,ɡotɪe menɖʰɑ/ menɖʰɑtɪe,,,one sheep,,,
kash1277-onesheep,kash1277,əkʰ kəʈʰ,,,one sheep,,,
mara1378-onesheep,mara1378,ek menɖrɪ,,,one sheep,,,
guja1252-onesheep,guja1252,ek ɡʰeʈu,,,one sheep,,,
sind1272-onesheep,sind1272,ɪkk bʰeɖ,,,one sheep,,,
paha1251-onesheep,paha1251,ek peɖ,,,one sheep,,,
sada1242-onesheep,sada1242,eɡo bʰeɽ,,,one sheep,,,
wagd1238-onesheep,wagd1238,ek bʰeɖ,,,one sheep,,,
west2380-onesheep,west2380,eɡo bʰeɽ,,,one sheep,,,
sans1269-onesheep,sans1269,ekɑ eɖkɑ,,,one sheep,,,
panc1246-onesheep,panc1246,ekʈɑ bʰeɽi,,,one sheep,,,
sylh1242-onesheep,sylh1242,æxʈɑ bʰæɽɑ,,,one sheep,,,
urdu1245-onesheep,urdu1245,ɑek bhɛɽʰ,,,one sheep,,,
halb1244-onesheep,halb1244,ɡoʈək menɖi,,,one sheep,,,
maga1260-onesheep,maga1260,eɡo bʰeɽɑ,,,one sheep,,,
rajb1243-onesheep,rajb1243,ɛk-ʈɑ bʰɛɽɑ,,,one sheep,,,
kull1236-onesheep,kull1236,ek bʰeɖ,,,one sheep,,,
dogr1250-fivesheep,dogr1250,pənǰ piɖɖɑ̃,,,five sheep,,,
garh1243-fivesheep,garh1243,pɑ̃č bʰẽɖči,,,five sheep,,,
kuma1273-fivesheep,kuma1273,pɑ̃č bʰeɽ,,,five sheep,,,
gadd1242-fivesheep,gadd1242,pənǰ bɛrɑ,,,five sheep,,,
goan1235-fivesheep,goan1235,pɑ̃t͡s mɛ̃dɛ,,,five sheep,,,
nepa1254-fivesheep,nepa1254,pɑ̃tʃõ ʈɑ bʰeɽɑ əru,,,five sheep,,,
kudm1238-fivesheep,kudm1238,mɑčɑʈi bʰeɖi,,,five sheep,,,
beng1280-fivesheep,beng1280,pɑ̃čʈɑ bʰærɑ,,,five sheep,,,
assa1263-fivesheep,assa1263,pɑ:stɑ: bʰɛrɑ:,,,five sheep,,,
marw1260-fivesheep,marw1260,pɑ̃:nč bʰɛɽɑ,,,five sheep,,,
panj1256-fivesheep,panj1256,pənǰ peɖɖɑ,,,five sheep,,,
adiv1239-fivesheep,adiv1239,pãnčə menɖʰɑ,,,five sheep,,,
kash1277-fivesheep,kash1277,pɑ̃tʃ kəʈʰ,,,five sheep,,,
mara1378-fivesheep,mara1378,pɑ̃:tʃ menɖrəjɑ,,,five sheep,,,
guja1252-fivesheep,guja1252,pɑ̃nč ɡʰeʈɑ,,,five sheep,,,
sind1272-fivesheep,sind1272,pənǰ bʰeɖ,,,five sheep,,,
paha1251-fivesheep,paha1251,pənǰ peɖɑ,,,five sheep,,,
sada1242-fivesheep,sada1242,pɑčɡo bʰeɽ,,,five sheep,,,
wagd1238-fivesheep,wagd1238,pɑč bʰeɖ,,,five sheep,,,
west2380-fivesheep,west2380,pɑ̃čɡo bʰeɽ,,,five sheep,,,
sans1269-fivesheep,sans1269,pə̃nč eɖkɑh,,,five sheep,,,
panc1246-fivesheep,panc1246,pɑ̃tʃʈɑ bʰeɽi,,,five sheep,,,
sylh1242-fivesheep,sylh1242,fɑsʈɑ bʰæɽɑ,,,five sheep,,,
urdu1245-fivesheep,urdu1245,pɑ̃tʃ bhɛɽẽ,,,five sheep,,,
halb1244-fivesheep,halb1244,pɑ̃č ʈʰən menɖi,,,five sheep,,,
maga1260-fivesheep,maga1260,du-ɡo bʰeɽɑ,,,five sheep,,,
rajb1243-fivesheep,rajb1243,pɑtʃ-ʈɑ bʰɛɽɑ,,,five sheep,,,
kull1236-fivesheep,kull1236,põnǰ bʰeɖ-ɑ̃,,,five sheep,,,
dogr1250-onegirl,dogr1250,ek kuɖi,,,one girl,,,
garh1243-onegirl,garh1243,ek ləɖki,,,one girl,,,
kuma1273-onegirl,kuma1273,ek čel,,,one girl,,,
gadd1242-onegirl,gadd1242,əkʰ čʰokre,,,one girl,,,
goan1235-onegirl,goan1235,ek t͡səlɪ,,,one girl,,,
nepa1254-onegirl,nepa1254,eoʈɑ keʈi,,,one girl,,,
kudm1238-onegirl,kudm1238,ənɑʈi/ekʈi beʈičʰəuɑ,,,one girl,,,
beng1280-onegirl,beng1280,ækʈɑ meje,,,one girl,,,
assa1263-onegirl,assa1263,ɛdʒɒnɪ sʊɑ:lɪ,,,one girl,,,
marw1260-onegirl,marw1260,ek čʰorɪ,,,one girl,,,
panj1256-onegirl,panj1256,ɪkk kuɖɪ,,,one girl,,,
adiv1239-onegirl,adiv1239,ǰəɳə ǰʰɪe/ǰʰɪətɪe,,,one girl,,,
kash1277-onegirl,kash1277,əkʰ kuʋər,,,one girl,,,
mara1378-onegirl,mara1378,ek muɭɡɪ,,,one girl,,,
guja1252-onegirl,guja1252,ek čʰokrɪ,,,one girl,,,
sind1272-onegirl,sind1272,ɪkk čʰokrɪ,,,one girl,,,
paha1251-onegirl,paha1251,ek kuɽi,,,one girl,,,
sada1242-onegirl,sada1242,eɡo čʰori,,,one girl,,,
wagd1238-onegirl,wagd1238,ek ʃori,,,one girl,,,
west2380-onegirl,west2380,eɡo čʰəuri,,,one girl,,,
sans1269-onegirl,sans1269,ekɑ bɑlikɑ,,,one girl,,,
panc1246-onegirl,panc1246,ekʈɑ čʰori,,,one girl,,,
sylh1242-onegirl,sylh1242,æxʈɑ meje,,,one girl,,,
urdu1245-onegirl,urdu1245,ɑek ləɽki,,,one girl,,,
halb1244-onegirl,halb1244,ɡoʈək leki,,,one girl,,,
maga1260-onegirl,maga1260,eɡo čʰɔri,,,one girl,,,
rajb1243-onegirl,rajb1243,ɛk-ʈɑ čɛŋɡri,,,one girl,,,
kull1236-onegirl,kull1236,ek ʃori,,,one girl,,,
dogr1250-twogirls,dogr1250,do kuɖijɑ̃,,,two girls,,,
garh1243-twogirls,garh1243,dui ləɖki,,,two girls,,,
kuma1273-twogirls,kuma1273,di čeli,,,two girls,,,
gadd1242-twogirls,gadd1242,do čʰukri,,,two girls,,,
goan1235-twogirls,goan1235,d̪on t͡səljo,,,two girls,,,
nepa1254-twogirls,nepa1254,duiʈɑ keʈi əru,,,two girls,,,
kudm1238-twogirls,kudm1238,dənɑʈi beʈičʰəuɑ,,,two girls,,,
beng1280-twogirls,beng1280,d̪uʈo meje,,,two girls,,,
assa1263-twogirls,assa1263,dʊdʒonɪ sʊɑ:lɪ,,,two girls,,,
marw1260-twogirls,marw1260,do čʰorəjɑ,,,two girls,,,
panj1256-twogirls,panj1256,d̪o kuɖɪjɑ̃,,,two girls,,,
adiv1239-twogirls,adiv1239,d̪uɪ ǰəɳə ǰʰɪe,,,two girls,,,
kash1277-twogirls,kash1277,žə kʋerijə,,,two girls,,,
mara1378-twogirls,mara1378,d̪on muɭɪ,,,two girls,,,
guja1252-twogirls,guja1252,be čʰokərɪjo,,,two girls,,,
sind1272-twogirls,sind1272,bə čʰokrɪju,,,two girls,,,
paha1251-twogirls,paha1251,do kuɽijɑ̃,,,two girls,,,
sada1242-twogirls,sada1242,duiɡo čʰorimən,,,two girls,,,
wagd1238-twogirls,wagd1238,be ʃorijẽ,,,two girls,,,
west2380-twogirls,west2380,duɡo čʰəuri,,,two girls,,,
sans1269-twogirls,sans1269,dʋe bɑlike,,,two girls,,,
panc1246-twogirls,panc1246,duiʈɑ čʰori,,,two girls,,,
sylh1242-twogirls,sylh1242,duiʈɑ meje,,,two girls,,,
urdu1245-twogirls,urdu1245,do ləɽkiɑ̃,,,two girls,,,
halb1244-twogirls,halb1244,duj ǰʰən leki mən,,,two girls,,,
maga1260-twogirls,maga1260,du-ɡo čʰɔri,,,two girls,,,
rajb1243-twogirls,rajb1243,dui-ʈɑ čɛŋɡri,,,two girls,,,
kull1236-twogirls,kull1236,dui ʃorijɑ̃,,,two girls,,,
dogr1250-threegirls,dogr1250,trɛ kuɖijɑ̃,,,three girls,,,
garh1243-threegirls,garh1243,tin ləɖki,,,three girls,,,
kuma1273-threegirls,kuma1273,tin čeli,,,three girls,,,
gadd1242-threegirls,gadd1242,trɛ čʰukri,,,three girls,,,
goan1235-threegirls,goan1235,t̪ɪn t͡səljo,,,three girls,,,
nepa1254-threegirls,nepa1254,tinoʈɑ keʈi əru,,,three girls,,,
kudm1238-threegirls,kudm1238,ʈenɑʈi beʈičʰəuɑ,,,three girls,,,
beng1280-threegirls,beng1280,t̪i:nʈe meje,,,three girls,,,
assa1263-threegirls,assa1263,tɪnɪdʒonɪ sʊɑ:lɪ,,,three girls,,,
marw1260-threegirls,marw1260,tɪn čʰorəjɑ,,,three girls,,,
panj1256-threegirls,panj1256,t̪ɪnn kuɖɪjɑ̃,,,three girls,,,
adiv1239-threegirls,adiv1239,t̪ɪnɪ ǰəɳə ǰʰɪe,,,three girls,,,
kash1277-threegirls,kash1277,trɛ kʋerijə,,,three girls,,,
mara1378-threegirls,mara1378,t̪ɪn muɭɪ,,,three girls,,,
guja1252-threegirls,guja1252,t̪roɳ čʰokərɪjo,,,three girls,,,
sind1272-threegirls,sind1272,ʈre čʰokrɪju,,,three girls,,,
paha1251-threegirls,paha1251,trɛ kuɽijɑ̃,,,three girls,,,
sada1242-threegirls,sada1242,tinɡo čʰorimən,,,three girls,,,
wagd1238-threegirls,wagd1238,trəɳ ʃorijẽ,,,three girls,,,
west2380-threegirls,west2380,tinɡo čʰəuri,,,three girls,,,
sans1269-threegirls,sans1269,tisrəh bɑlikɑh,,,three girls,,,
panc1246-threegirls,panc1246,tinʈɑ čʰori,,,three girls,,,
sylh1242-threegirls,sylh1242,tinʈɑ meje,,,three girls,,,
urdu1245-threegirls,urdu1245,tin ləɽkiɑ̃,,,three girls,,,
halb1244-threegirls,halb1244,tin ǰʰən leki mən,,,three girls,,,
maga1260-threegirls,maga1260,tin-ɡo čʰɔri,,,three girls,,,
rajb1243-threegirls,rajb1243,tin-ʈɑ čɛŋɡri,,,three girls,,,
kull1236-threegirls,kull1236,trɑi ʃorijɑ̃,,,three girls,,,
dogr1250-eighttrees,dogr1250,əʈʰ buʈe,,,eight trees,,,
garh1243-eighttrees,garh1243,ɑʈʰ peɖ,,,eight trees,,,
